timestamp,time,open,high,low,close
2026-09-06 12:27:00+00:00,1788697620,1.35169,1.35176,1.35149,1.35161
2026-09-06 12:27:30+00:00,1788697650,1.35158,1.35189,1.35149,1.35188
2026-09-06 12:28:00+00:00,1788697680,1.3519,1.35196,1.3516,1.35164
2026-09-06 12:28:30+00:00,1788697710,1.35162,1.35207,1.35162,1.35202
2026-09-06 12:29:00+00:00,1788697740,1.35206,1.3522,1.35159,1.3517
2026-09-06 12:29:30+00:00,1788697770,1.3517,1.35204,1.3517,1.35191
2026-09-06 12:30:00+00:00,1788697800,1.35189,1.35236,1.35189,1.35234
2026-09-06 12:30:30+00:00,1788697830,1.35244,1.35244,1.35195,1.35196
2026-09-06 12:31:00+00:00,1788697860,1.35196,1.35224,1.35176,1.35212
2026-09-06 12:31:30+00:00,1788697890,1.35212,1.35212,1.35168,1.35182
2026-09-06 12:32:00+00:00,1788697920,1.35185,1.35185,1.35142,1.35155
2026-09-06 12:32:30+00:00,1788697950,1.35154,1.35158,1.35121,1.35131
2026-09-06 12:33:00+00:00,1788697980,1.35131,1.35155,1.35128,1.35151
2026-09-06 12:33:30+00:00,1788698010,1.35154,1.35212,1.3515,1.35204
2026-09-06 12:34:00+00:00,1788698040,1.35199,1.35239,1.35194,1.35239
2026-09-06 12:34:30+00:00,1788698070,1.35237,1.35237,1.3521,1.35225
2026-09-06 12:35:00+00:00,1788698100,1.35225,1.35263,1.35212,1.35212
2026-09-06 12:35:30+00:00,1788698130,1.35216,1.35221,1.35181,1.35185
2026-09-06 12:36:00+00:00,1788698160,1.35187,1.35207,1.35167,1.35182
2026-09-06 12:36:30+00:00,1788698190,1.3518,1.35217,1.3518,1.35217
2026-09-06 12:37:00+00:00,1788698220,1.35217,1.35241,1.3521,1.35224
2026-09-06 12:37:30+00:00,1788698250,1.35224,1.35238,1.35199,1.35222
2026-09-06 12:38:00+00:00,1788698280,1.35222,1.35279,1.35218,1.35278
2026-09-06 12:38:30+00:00,1788698310,1.35278,1.35278,1.35237,1.35237
2026-09-06 12:39:00+00:00,1788698340,1.35237,1.3525,1.35195,1.35199
2026-09-06 12:39:30+00:00,1788698370,1.35199,1.35215,1.35173,1.352
2026-09-06 12:40:00+00:00,1788698400,1.352,1.35213,1.3518,1.3519
2026-09-06 12:40:30+00:00,1788698430,1.35204,1.35227,1.35198,1.35208
2026-09-06 12:41:00+00:00,1788698460,1.35213,1.35213,1.35188,1.35208
2026-09-06 12:41:30+00:00,1788698490,1.35208,1.35216,1.35185,1.35185
2026-09-06 12:42:00+00:00,1788698520,1.35183,1.35193,1.35164,1.35185
2026-09-06 12:42:30+00:00,1788698550,1.35183,1.35199,1.35173,1.35194
2026-09-06 12:43:00+00:00,1788698580,1.35192,1.35222,1.35161,1.35167
2026-09-06 12:43:30+00:00,1788698610,1.35167,1.35217,1.35166,1.35174
2026-09-06 12:44:00+00:00,1788698640,1.35174,1.35186,1.35154,1.35183
2026-09-06 12:44:30+00:00,1788698670,1.35183,1.35203,1.35178,1.35191
2026-09-06 12:45:00+00:00,1788698700,1.35191,1.35225,1.35186,1.35206
2026-09-06 12:45:30+00:00,1788698730,1.35206,1.35207,1.35168,1.35183
2026-09-06 12:46:00+00:00,1788698760,1.35183,1.35254,1.35183,1.35234
2026-09-06 12:46:30+00:00,1788698790,1.35234,1.3527,1.35226,1.35264
2026-09-06 12:47:00+00:00,1788698820,1.35269,1.35298,1.35261,1.35297
2026-09-06 12:47:30+00:00,1788698850,1.35297,1.35329,1.35287,1.35307
2026-09-06 12:48:00+00:00,1788698880,1.35309,1.35323,1.35279,1.35289
2026-09-06 12:48:30+00:00,1788698910,1.35289,1.35329,1.3528,1.35329
2026-09-06 12:49:00+00:00,1788698940,1.35328,1.35383,1.35324,1.3537
2026-09-06 12:49:30+00:00,1788698970,1.35372,1.3543,1.35359,1.3543
2026-09-06 12:50:00+00:00,1788699000,1.35428,1.3544,1.35401,1.3544
2026-09-06 12:50:30+00:00,1788699030,1.35441,1.35466,1.35435,1.35437
2026-09-06 12:51:00+00:00,1788699060,1.35435,1.35446,1.35376,1.35384
2026-09-06 12:51:30+00:00,1788699090,1.35384,1.35426,1.35384,1.35414
2026-09-06 12:52:00+00:00,1788699120,1.35416,1.3543,1.35383,1.35428
2026-09-06 12:52:30+00:00,1788699150,1.35428,1.35428,1.35393,1.35423
2026-09-06 12:53:00+00:00,1788699180,1.35423,1.35461,1.35423,1.35428
2026-09-06 12:53:30+00:00,1788699210,1.35428,1.35445,1.35423,1.35427
2026-09-06 12:54:00+00:00,1788699240,1.35426,1.3544,1.35411,1.35425
2026-09-06 12:54:30+00:00,1788699270,1.35423,1.3548,1.35423,1.35476
2026-09-06 12:55:00+00:00,1788699300,1.35476,1.35478,1.35439,1.35457
2026-09-06 12:55:30+00:00,1788699330,1.35475,1.35533,1.35474,1.35514
